# Malda BuiltInRegistry inventory (Phase 0)
# Source: MaldaLang/BuiltIns/BuiltInRegistry.cs
# Regenerate: scripts/generate-core-builtin-inventory.ps1
# Format: symbol -> tier | note
# Optional-pack / vertical symbols must NOT appear here (enforced by OptionalPackRegistryGuardTests)

# count: 347

abs -> tier1-core | BuiltInRegistry
padEnd -> stdlib-general | BuiltInRegistry
padStart -> stdlib-general | BuiltInRegistry
pageLayout -> stdlib-general | BuiltInRegistry
parallelRun -> stdlib-general | BuiltInRegistry
parseDate -> stdlib-general | BuiltInRegistry
parseJson -> tier1-core | BuiltInRegistry
parseJSON -> tier1-core | BuiltInRegistry
pathExists -> stdlib-io | BuiltInRegistry
pathGetExtension -> stdlib-io | BuiltInRegistry
pathJoin -> stdlib-io | BuiltInRegistry
pathNormalize -> stdlib-io | BuiltInRegistry
pop -> stdlib-general | BuiltInRegistry
pow -> tier1-core | BuiltInRegistry
print -> stdlib-general | BuiltInRegistry
radToDeg -> stdlib-general | BuiltInRegistry
randn -> stdlib-general | BuiltInRegistry
random -> tier1-core | BuiltInRegistry
randomChoiceWeighted -> tier1-core | BuiltInRegistry
randomFloat -> tier1-core | BuiltInRegistry
randomInt -> tier1-core | BuiltInRegistry
range -> stdlib-general | BuiltInRegistry
readFile -> stdlib-io | BuiltInRegistry
readFileBase64 -> stdlib-io | BuiltInRegistry
readSecureCookie -> stdlib-general | BuiltInRegistry
readTextFileLines -> stdlib-general | BuiltInRegistry
redirect -> platform-web | BuiltInRegistry
RedirectTo -> platform-web | BuiltInRegistry
regexFind -> stdlib-general | BuiltInRegistry
regexMatch -> stdlib-general | BuiltInRegistry
regexReplace -> stdlib-general | BuiltInRegistry
renderTemplate -> stdlib-general | BuiltInRegistry
repeat -> stdlib-general | BuiltInRegistry
replace -> stdlib-general | BuiltInRegistry
replaceInFile -> stdlib-general | BuiltInRegistry
reply -> stdlib-general | BuiltInRegistry
reportRalphStatus -> platform-ai | BuiltInRegistry
requeueDeadLetter -> stdlib-general | BuiltInRegistry
resumeWorkflow -> platform-workflow | BuiltInRegistry
retryWorkflow -> platform-workflow | BuiltInRegistry
reverse -> stdlib-general | BuiltInRegistry
round -> tier1-core | BuiltInRegistry
rsqrt -> stdlib-general | BuiltInRegistry
runCommand -> stdlib-general | BuiltInRegistry
runMALDA -> platform-ai | BuiltInRegistry
runPrompt -> stdlib-general | BuiltInRegistry
runProperty -> stdlib-general | BuiltInRegistry
runWorkflowInstance -> platform-workflow | BuiltInRegistry
seed -> stdlib-general | BuiltInRegistry
setAgentStatusBanner -> platform-ai | BuiltInRegistry
setAgentVerbosePhase -> platform-ai | BuiltInRegistry
setDefaultAgent -> platform-ai | BuiltInRegistry
sha256 -> stdlib-general | BuiltInRegistry
shift -> stdlib-general | BuiltInRegistry
sign -> stdlib-general | BuiltInRegistry
signalWorkflow -> platform-workflow | BuiltInRegistry
similarity -> stdlib-general | BuiltInRegistry
sin -> tier1-core | BuiltInRegistry
sleep -> stdlib-general | BuiltInRegistry
softmax -> stdlib-general | BuiltInRegistry
sort -> stdlib-general | BuiltInRegistry
split -> stdlib-general | BuiltInRegistry
splitDocuments -> stdlib-general | BuiltInRegistry
sqrt -> tier1-core | BuiltInRegistry
startsWith -> stdlib-general | BuiltInRegistry
startWorkflow -> platform-workflow | BuiltInRegistry
string -> tier1-core | BuiltInRegistry
substring -> stdlib-general | BuiltInRegistry
sum -> tier1-core | BuiltInRegistry
tan -> tier1-core | BuiltInRegistry
text -> stdlib-general | BuiltInRegistry
toCsv -> stdlib-general | BuiltInRegistry
toIntOr -> stdlib-general | BuiltInRegistry
toIntOrNull -> stdlib-general | BuiltInRegistry
toJSON -> stdlib-general | BuiltInRegistry
tokenize -> stdlib-general | BuiltInRegistry
tokenOverlap -> stdlib-general | BuiltInRegistry
trim -> stdlib-general | BuiltInRegistry
trimText -> stdlib-general | BuiltInRegistry
trunc -> stdlib-general | BuiltInRegistry
typeOf -> tier1-core | BuiltInRegistry
uiAccordion -> platform-ui | BuiltInRegistry
uiAlert -> platform-ui | BuiltInRegistry
uiBadge -> platform-ui | BuiltInRegistry
uiBreadcrumbs -> platform-ui | BuiltInRegistry
uiButton -> platform-ui | BuiltInRegistry
uiCheckbox -> platform-ui | BuiltInRegistry
uiChoose -> platform-ui | BuiltInRegistry
uiColumn -> platform-ui | BuiltInRegistry
uiConfigure -> platform-ui | BuiltInRegistry
uiCrudControls -> platform-ui | BuiltInRegistry
uiCrudModel -> platform-ui | BuiltInRegistry
uiCrudSchema -> platform-ui | BuiltInRegistry
uiDataGrid -> platform-ui | BuiltInRegistry
uiDatePicker -> platform-ui | BuiltInRegistry
uiDispatchEvent -> platform-ui | BuiltInRegistry
uiDrawer -> platform-ui | BuiltInRegistry
uiEach -> platform-ui | BuiltInRegistry
uiEmptyState -> platform-ui | BuiltInRegistry
uiErrorBoundary -> platform-ui | BuiltInRegistry
uiField -> platform-ui | BuiltInRegistry
uiForm -> platform-ui | BuiltInRegistry
uiGenerate -> platform-ui | BuiltInRegistry
uiGetState -> platform-ui | BuiltInRegistry
uiHeading -> platform-ui | BuiltInRegistry
uiIcon -> platform-ui | BuiltInRegistry
uiImage -> platform-ui | BuiltInRegistry
uiInvalidate -> platform-ui | BuiltInRegistry
uiLayout -> platform-ui | BuiltInRegistry
uiList -> platform-ui | BuiltInRegistry
uiModal -> platform-ui | BuiltInRegistry
uiMount -> platform-ui | BuiltInRegistry
uiMountEnvelope -> platform-ui | BuiltInRegistry
uiOnDispose -> platform-ui | BuiltInRegistry
uiOnError -> platform-ui | BuiltInRegistry
uiOnInit -> platform-ui | BuiltInRegistry
uiOnLoad -> platform-ui | BuiltInRegistry
uiOnMount -> platform-ui | BuiltInRegistry
uiOnPreRender -> platform-ui | BuiltInRegistry
uiOnUnmount -> platform-ui | BuiltInRegistry
uiOnUpdate -> platform-ui | BuiltInRegistry
uiPaginator -> platform-ui | BuiltInRegistry
uiPanel -> platform-ui | BuiltInRegistry
uiPartial -> platform-ui | BuiltInRegistry
uiPinState -> platform-ui | BuiltInRegistry
uiProgress -> platform-ui | BuiltInRegistry
uiPullEvent -> platform-ui | BuiltInRegistry
uiRadioGroup -> platform-ui | BuiltInRegistry
uiRedirectWithSession -> platform-ui | BuiltInRegistry
uiRender -> platform-ui | BuiltInRegistry
uiRenderList -> platform-ui | BuiltInRegistry
uiResync -> platform-ui | BuiltInRegistry
uiRow -> platform-ui | BuiltInRegistry
uiSelect -> platform-ui | BuiltInRegistry
uiSessionId -> platform-ui | BuiltInRegistry
uiSetState -> platform-ui | BuiltInRegistry
uiSkeleton -> platform-ui | BuiltInRegistry
uiSlider -> platform-ui | BuiltInRegistry
uiSlot -> platform-ui | BuiltInRegistry
uiSnapshot -> platform-ui | BuiltInRegistry
uiSpacer -> platform-ui | BuiltInRegistry
uiSpinner -> platform-ui | BuiltInRegistry
uiStack -> platform-ui | BuiltInRegistry
uiState -> platform-ui | BuiltInRegistry
uiSwitch -> platform-ui | BuiltInRegistry
uiTable -> platform-ui | BuiltInRegistry
uiTabs -> platform-ui | BuiltInRegistry
uiTemplate -> platform-ui | BuiltInRegistry
uiText -> platform-ui | BuiltInRegistry
uiTextArea -> platform-ui | BuiltInRegistry
uiTextField -> platform-ui | BuiltInRegistry
uiToast -> platform-ui | BuiltInRegistry
uiTreeView -> platform-ui | BuiltInRegistry
uiUnpinState -> platform-ui | BuiltInRegistry
uiWhen -> platform-ui | BuiltInRegistry
uiWithSlot -> platform-ui | BuiltInRegistry
upper -> stdlib-general | BuiltInRegistry
urlDecode -> stdlib-general | BuiltInRegistry
urlEncode -> stdlib-general | BuiltInRegistry
validate -> stdlib-general | BuiltInRegistry
verifyCsrfToken -> stdlib-general | BuiltInRegistry
verifyJwt -> stdlib-general | BuiltInRegistry
verifyPassword -> stdlib-general | BuiltInRegistry
webSearch -> platform-web | BuiltInRegistry
withExamples -> stdlib-general | BuiltInRegistry
writeFile -> stdlib-io | BuiltInRegistry
writeFileBase64 -> stdlib-io | BuiltInRegistry
